Input	ID_Name_1	label	ID_CAS_Nr_1	ID_EG_Nr	ID_EG_Annex_Nr	Boiling_Point_Minimum_°C	Melting_Point_Minimum_°C	Vapour_Pressure_25°C_mmHg	Flash_Point_Minimum_°C	Autoignition_Temperature_Minimum_°C	Hansen_Delta_D_MPa1/2	Hansen_Delta_P_MPa1/2	Hansen_Delta_H_MPa1/2	Solubility_Water_g/L	Dielectric_Constant_20°C	Density_25°C_Minimum_kg/L	Viscosity_25°C_Minimum_mPa.s
DataType	string	string	string	string	string	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Randomisation Range	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV
Mixed	n-pentane	0	109-66-0	203-692-4	NAV	36	-129.7	51.38	-49.4	260	14.5	0	0	0.041	1.8	0.63	0.22
PARIS III	hexane	0	110-54-3	203-777-6	NAV	68.7	-95.3	150.76	-11.82	223	14.9	0	0	0.013	1.88	0.66	0.3
PARIS III	heptane	0	142-82-5	205-563-8	NAV	98.5	-90.6	46.05	-1.1	215	15.3	0	0	0.0022	1.925	0.7	0.39
DNCP	Diisopropyl ether	1	108-20-3	204-881-4	NAV	68	-86.8	149.26	-29	405	15.1	3.2	3.2	9	3.9	0.7192	0.38
PARIS III	Diethyl ether	1	60-29-7	200-467-2	NAV	34.6	-116.3	537.04	-45	160	14.5	2.9	4.6	69	4.197	0.73	0.22
PARIS III	Methyl tetrahydrofuran, 2-	1	96-47-9	202-507-4	NAV	78	-136	102.00	-11	270	16.9	5	4.3	150	7	0.86	0.473
Mixed	tetrahydrofuran	1	109-99-9	203-726-8	603-025-00-0	66	-108.4	162.01	-14	321	16.8	5.7	8	-1	7.58	0.8833	0.456
DNCP	MTBE	1	1634-04-4	216-653-1	NAV	54	-110	204.00	-28	224	14.8	4.3	5	51	4.5	0.7353	0.44
PARIS III	cyclopentyl methyl ether	1	5614-37-9	NAV	NAV	106	-140	31.88	-1	180	16.7	4.3	4.3	11	4.76	0.88	0.55
PARIS III	chloroform	2	67-66-3	200-663-8	NAV	61.1	-63.6	197.01	31.05	624	17.8	3.1	5.7	7.95	4.806	1.48	0.54
PARIS III	Dichloroethane	2	107-06-2	203-458-1	NAV	83.5	-35.5	78.76	15.6	440	18	7.4	4.1	8.7	16.7	1.17	0.78
PARIS III	Carbon tetrachloride	2	56-23-5	NAV	NAV	76.8	-23	114.76	23.2	982	17.8	0	0.6	0.7934	2.2	1.7	0.91
Chemtec Solvent Database	Dichloromethane	2	75-09-2	NAV	NAV	39.6	-94.92	435.04	-4	605	17	7.3	7.1	13.03	9.1	1.326	0.41
Mixed	dimethylformamide	3	68-12-2	200-679-5	616-001-00-x	153	-61	3.87	58	445	17.4	13.7	11.3	1000	36.7	0.9445	0.794
Mixed	N-methyl pyrrolidone	3	872-50-4	212-828-1	606-021-00-7	202	-24	0.35	91	269	18	12.3	7.2	-1	32.2	1.023	1.666
Mixed	dimethylacetamide	3	127-19-5	204-826-4	NAV	165	-20	2.00	66	490	16.8	11.5	9.4	-1	37.78	0.9372	1.927
PARIS III	Acetonitrile	3	75-05-8	200-835-2	NAV	81.6	-43.8	88.51	2	525	15.3	18	6.1	-1	37.5	0.79	0.36
Mixed	pyridine	4	110-86-1	203-809-9	NAV	115.2	-41.6	20.78	17	482	19	8.8	5.9	-1	12.5	0.98	0.89
PARIS III	Triethylamine	4	121-44-8	204-469-4	NAV	89.3	-114.7	57.15	-0.91	215	15.5	0.4	1	133	2.423	0.75	20.14
PARIS III	benzene	5	71-43-2	NAV	NAV	80	5.5	94.51	-11	498	18.4	0	2	1.79	2.274	0.87	0.61
PARIS III	toluene	5	108-88-3	203-625-9	NAV	110.6	-94.9	28.35	10	535	18	1.4	2	0.5	2.4	0.87	0.55
PARIS III	1,4-dioxane	6	123-91-1	204-661-8	NAV	101.5	11.8	38.10	12.2	355	17.5	1.8	9	431	2.21	1	1.19
Mixed	ethylacetate	7	141-78-6	205-500-4	607-022-00-5	75	-83.5	93.01	-4	427	15.8	5.3	7.2	80	6.02	0.895	0.423
