Input	ID_Name_1	ID_CAS_Nr_1	ID_EG_Nr	ID_EG_Annex_Nr	Boiling_Point_Minimum_°C	Melting_Point_Minimum_°C	Flash_Point_Minimum_°C	Vapour_Pressure_25°C_mmHg	Density_25°C_Minimum_kg/L	Viscosity_25°C_Minimum_mPa.s
DataType	string	string	string	string	numeric	numeric	numeric	numeric	numeric	numeric
Randomisation Range	NAV	NAV	NAV	NAV						
DNCP	hexaan	110-54-3	203-77-6	601-037-00-0	69	-95	-22	143.54	0.6606	0.3
DNCP	heptane	142-82-5	205-563-8	601-008-00-2	98	-91	-4	46.05	0.6795	0.387
PARIS III	3-methylpentane	96-14-0	NAV	NAV	63.2	-162.9	-6	18.98	0.66	0.31
PARIS III	4-ethyl-2-methyl-heptane	52896-88-5	NAV	NAV	158	-108.2	81.89	2.58	0.73	0.94
PARIS III	4-ethyl-3-methyl-heptane	52896-89-6	NAV	NAV	165	-118.28	84.42	2.33	0.73	0.99
PARIS III	3-ethyl-5-methyl-heptane	52896-90-9	NAV	NAV	158.2	-107.85	82.7	2.54	0.73	1
PARIS III	3-ethyl-4-methyl-heptane	52896-91-0	NAV	NAV	165	-114.96	84.51	2.53	0.73	1
PARIS III	2,2,3-trimethylheptane	52896-92-1	NAV	NAV	157.8	-100.17	39.48	3.87	0.73	0.81
PARIS III	2,3,4-trimethylheptane	52896-95-4	NAV	NAV	161	-122.09	48.68	3.04	0.73	0.83
PARIS III	4-ethyl-2,2-dimethyl-hexane	52896-99-8	NAV	NAV	147	-96.35	32.11	6.51	0.73	0.8
PARIS III	3-ethyl-2,3-dimethyl-hexane	52897-00-4	NAV	NAV	166	-107.63	45.43	3.50	0.73	1.05
PARIS III	4-ethyl-2,4-dimethyl-hexane	52897-03-7	NAV	NAV	161.1	-99	36.53	3.88	0.73	0.88
PARIS III	3-ethyl-2,5-dimethyl-hexane	52897-04-8	NAV	NAV	154.1	-111.38	58.04	3.98	0.73	0.8
PARIS III	4-ethyl-3,3-dimethyl-hexane	52897-05-9	NAV	NAV	162.9	-104.37	53.57	3.37	0.73	1.07
PARIS III	3-ethyl-3,4-dimethyl-hexane	52897-06-0	NAV	NAV	162.1	-90.89	54.25	2.78	0.73	1.13
PARIS III	2,2,3,4-tetramethylhexane	52897-08-2	NAV	NAV	157	-95.95	42.24	4.60	0.73	0.85
PARIS III	2,3,4,4-tetramethylhexane	52897-12-8	NAV	NAV	161.6	-98.58	48.57	4.05	0.73	0.94
PARIS III	2,3,4,5-tetramethylhexane	52897-15-1	NAV	NAV	156.2	-97.11	54.34	3.50	0.73	0.81
PARIS III	3,3-diethyl-2-methyl-pentane	52897-16-2	NAV	NAV	172	-77.04	49.52	2.91	0.73	1.24
PARIS III	3-ethyl-2,2,3-trimethyl-pentane	52897-17-3	NAV	NAV	169.5	-42.5	45.45	3.79	0.73	1.18
PARIS III	ethylbenzene	100-41-4	NAV	NAV	136.1	-94.9	25.94	9.60	0.86	0.63
PARIS III	1,3,5-triethylbenzene	102-25-0	NAV	NAV	215.9	-66.5	81.1	0.22	0.86	1.9
PARIS III	propylbenzene	103-65-1	NAV	NAV	159.2	-99.5	42.1	3.42	0.86	0.84
PARIS III	butylbenzene	104-51-8	NAV	NAV	183.3	-87.9	59	1.06	0.86	0.95
PARIS III	1,4-diethylbenzene	105-05-5	NAV	NAV	183.7	-42.83	56.7	1.06	0.86	1.08
PARIS III	1,2,4-trimethylbenzene	95-63-6	NAV	NAV	169.3	-43.8	48	2.10	0.88	1.01
PARIS III	tert-butylbenzene	98-06-6	NAV	NAV	169.1	-57.8	34.4	2.20	0.87	27.61
PARIS III	1-tert-butyl-3,5-dimethyl-benzene	98-19-1	NAV	NAV	207	-18	71.8	0.23	0.86	1.09
PARIS III	1-tert-butyl-4-methyl-benzene	98-51-1	NAV	NAV	190	-52	54.4	0.72	0.86	1.33
Chemtec Solvent Database	Xylene, m-	108-38-3	NAV	NAV	139.1	-47.9	27	8.33	0.86009	0.581
PARIS III	propylbenzene	103-65-1	NAV	NAV	159.2	-99.5	42.1	3.42	0.86	0.84
PARIS III	butylbenzene	104-51-8	NAV	NAV	183.3	-87.9	59	1.06	0.86	0.95
PARIS III	1,4-dimethylbenzene	106-42-3	NAV	NAV	138.3	13.2	27.22	8.85	0.87	0.61
PARIS III	1,3,5-trimethylbenzene	108-67-8	NAV	NAV	164.7	-44.7	44.4	2.48	0.87	1.04
PARIS III	1,2-diethylbenzene	135-01-3	NAV	NAV	184	-31.2	49.4	1.05	0.86	1.15
PARIS III	1,3-diethylbenzene	141-93-5	NAV	NAV	181.1	-83.9	50.6	1.13	0.86	1.09
PARIS III	1,2,3,5-tetramethylbenzene	527-53-7	NAV	NAV	198	-23.7	67.15	0.50	0.87	1.38
PARIS III	1,2,3-trimethylbenzene	526-73-8	NAV	NAV	176.1	-25.4	53	1.69	0.89	1.18
PARIS III	1,2,3,4,5-pentaethylbenzene	605-01-6	NAV	NAV	277	-1.76	133.39	0.00	0.88	5.93
PARIS III	1-ethyl-2-methyl-benzene	611-14-3	NAV	NAV	165.2	-80.8	39.4	2.61	0.89	0.96
Chemtec Solvent Database	Methyl hexyl ketone	111-13-7	NAV	NAV	173	-16	62.77	1.35	0.815	0.95
Chemtec Solvent Database	Methyl isobutyl ketone	108-10-1	NAV	NAV	116.1	-84	15	19.88	0.7965	0.545
