Input	ID_Name_1	ID_CAS_Nr_1	ID_EG_Nr	ID_EG_Annex_Nr	Boiling_Point_Minimum_°C	Melting_Point_Minimum_°C	Flash_Point_Minimum_°C	Vapour_Pressure_25°C_mmHg	Density_25°C_Minimum_kg/L	Viscosity_25°C_Minimum_mPa.s
DataType	string	string	string	string	numeric	numeric	numeric	numeric	numeric	numeric
PARIS III	2-[fluoranyl(propan-2-yloxy)phosphoryl]oxypropane	55-91-4	200-247-5	NAV	183	-82	64.5	9.98E-02	1.08	1.45
PARIS III	N'-(3-azanylpropyl)propane-1,3-diamine	56-18-8	NAV	NAV	247.64	-14	118	5.73E-03	0.91	2.08
PARIS III	tetrakis(chloranyl)methane	56-23-5	NAV	NAV	76.8	-23	23.2	1.15E+01	1.7	0.91
PARIS III	propane-1,2,3-triol	56-81-5	200-289-5	NAV	290	18.2	160	1.68E-04	1.3	944.06
PARIS III	1,1-dimethyldiazane	57-14-7	NAV	NAV	63.9	-58	1.1	1.63E+01	0.83	2.12
PARIS III	propane-1,2-diol	57-55-6	200-338-0	NAV	187.6	-60	99	1.30E-01	1.04	41.59
PARIS III	2,3-bis(sulfanyl)propan-1-ol	59-52-9	200-433-7	NAV	220.74	-15.4	83.88	5.00E-03	1.22	8.18
PARIS III	2,3-di(butanoyloxy)propyl butanoate	60-01-5	200-451-5	NAV	307.5	-75	143.42	2.71E-04	1.05	11.83
PARIS III	2-phenylethanol	60-12-8	200-456-2	NAV	218.2	-27	98.4	8.70E-02	1.02	12.36
PARIS III	2-sulfanylethanol	60-24-2	200-464-6	NAV	157	-41.73	73.89	1.76E+00	1.07	2.75
PARIS III	ethoxyethane	60-29-7	200-467-2	NAV	34.6	-116.3	-45	5.39E+01	0.73	0.22
PARIS III	9,12-Octadecadienoic acid, (Z,Z)-	60-33-3	200-470-9	NAV	365.2	-8.5	273	8.70E-07	0.9	14.46
PARIS III	methyldiazane	60-34-4	200-471-4	NAV	87.5	-52.4	21	5.00E+01	0.86	1.08
PARIS III	ethyl methanesulfonate	62-50-0	200-536-7	NAV	213.5	12.57	100	2.10E-01	1.21	2.92
PARIS III	aniline	62-53-3	200-539-3	NAV	181	-6	76	4.90E-01	1.02	3.72
PARIS III	2-phenylethanamine	64-04-0	200-574-4	NAV	197.5	-60	90.6	3.51E-03	0.96	2.45
PARIS III	ethanol	64-17-5	200-578-6	NAV	78.2	-114.1	8.89	5.93E+01	0.78	1.07
PARIS III	ethanoic acid	64-19-7	200-580-7	NAV	117.9	16.6	40	1.57E+01	1.07	1.05
PARIS III	diethyl sulfate	64-67-5	200-589-6	NAV	208	-24	78.3	2.10E-01	1.2	4.27
PARIS III	hexanal	66-25-1	200-624-5	NAV	131	-56	32	1.13E+01	0.82	0.71
PARIS III	methyl methanesulfonate	66-27-3	NAV	NAV	203	20	104	9.98E-02	1.3	2.61
PARIS III	methanol	67-56-1	NAV	NAV	64.7	-97.6	11.11	1.27E+01	0.75	0.55
PARIS III	propan-2-ol	67-63-0	NAV	NAV	82.3	-89.5	11.67	4.54E+01	0.79	2.04
PARIS III	acetone	67-64-1	NAV	NAV	56	-94.8	-17	2.32E+01	0.77	0.31
PARIS III	tris(chloranyl)methane	67-66-3	200-663-8	NAV	61.1	-63.6	31.05	1.97E+01	1.48	0.54
PARIS III	methylsulfinylmethane	67-68-5	200-664-3	NAV	189	18.5	85	6.10E-01	1.1	1.95
PARIS III	2-sulfanylethanoic acid	68-11-1	200-667-4	NAV	177.59	-16.5	99.8	8.70E-02	1.31	2.18
PARIS III	N,N-dimethylmethanamide	68-12-2	200-679-5	NAV	153	-60.4	57.8	3.87E+00	0.88	0.81
PARIS III	1-ethylsulfinylethane	70-29-1	NAV	NAV	203.3	14	98.38	4.20E-01	1.01	1.08
