Input	ID_Name_1	ID_CAS_Nr_1	ID_EG_Nr	ID_EG_Annex_Nr	Boiling_Point_Minimum_°C	Melting_Point_Minimum_°C	Flash_Point_Minimum_°C	Vapour_Pressure_25°C_mmHg	Density_25°C_Minimum_kg/L	Viscosity_25°C_Minimum_mPa.s
DataType	string	string	string	string	numeric	numeric	numeric	numeric	numeric	numeric
PARIS III	propanenitrile	107-12-0	NAV	NAV	97.1	-92.8	6	4.74E+01	0.77	0.41
PARIS III	prop-2-enenitrile	107-13-1	NAV	NAV	77.3	-83.5	0	1.09E+01	0.8	0.34
PARIS III	2-chloranylethanenitrile	107-14-2	NAV	NAV	126	-83.3	47.8	1.14E+01	1.14	0.85
PARIS III	ethane-1,2-diamine	107-15-3	NAV	NAV	117	11.1	33.9	1.20E+01	0.9	1.49
PARIS III	2-oxidanylethanenitrile	107-16-4	NAV	NAV	183	-18.77	56.1	1.30E+00	1.09	3.64
PARIS III	prop-2-en-1-ol	107-18-6	NAV	NAV	97	-129	22.22	2.61E+01	0.82	1.22
PARIS III	prop-2-yn-1-ol	107-19-7	NAV	NAV	113.6	-51.8	36.1	1.56E+01	0.94	1.87
PARIS III	2-chloranylethanal	107-20-0	NAV	NAV	85.5	-16.3	32.63	6.43E+01	1.12	0.47
PARIS III	ethane-1,2-diol	107-21-1	NAV	NAV	197.3	-13	108.2	9.23E-02	1.1	15.78
PARIS III	ethanedial	107-22-2	NAV	NAV	50.4	15	47.05	2.55E+01	1.03	0.4
PARIS III	chloranyl(methoxy)methane	107-30-2	NAV	NAV	59.5	-103.5	15	3.11E+01	1.06	0.4
PARIS III	2,4,4-trimethylpent-1-ene	107-39-1	NAV	NAV	101.4	-93.5	-6.1	4.47E+01	0.72	0.47
PARIS III	2,4,4-trimethylpent-2-ene	107-40-4	NAV	NAV	104.9	-106.3	7.06	3.59E+01	0.73	0.48
PARIS III	2-methylpentane-2,4-diol	107-41-5	NAV	NAV	198	-50	93.9	1.30E-02	0.92	22.26
PARIS III	2,4,4-trimethylpentan-2-amine	107-45-9	NAV	NAV	140	-58.82	32	4.16E+00	0.8	1.7
PARIS III	2-tert-butylsulfanyl-2-methyl-propane	107-47-1	NAV	NAV	149.1	-9	26.7	2.80E+01	0.84	0.518991
PARIS III	2-(2,2-dimethylpropyl)-2-methyl-oxirane	107-48-2	NAV	NAV	140.9	-64	28	4.28E+00	0.86	1.62
PARIS III	3,5-dimethylhex-1-yn-3-ol	107-54-0	NAV	NAV	155.01	16.77	44.4	3.35E-01	0.86	4.29
PARIS III	tert-butyl 2-chloranylethanoate	107-59-5	NAV	NAV	150	-47.84	41.4	2.35E+00	1.05	1.01
PARIS III	4-methoxy-4-methyl-pentan-2-one	107-70-0	NAV	NAV	160	-48.62	41.3	5.73E+00	0.88	0.78
PARIS III	3,7-dimethyl-7-oxidanyl-octanal	107-75-5	NAV	NAV	241	17.45	103.8	6.40E-03	0.91	10.46
PARIS III	1,3-bis(bromanyl)butane	107-80-2	NAV	NAV	174	-54.41	48.8	2.88E+00	1.78	1.46
PARIS III	2-bromanylpentane	107-81-3	NAV	NAV	117.4	-95.5	20.6	2.13E+01	1.21	0.62
PARIS III	1-bromanyl-3-methyl-butane	107-82-4	NAV	NAV	120.4	-112	32.2	3.46E+01	1.26	0.63
PARIS III	2-methylpentane	107-83-5	NAV	NAV	60.2	-153.7	-32	2.11E+01	0.67	0.28
PARIS III	1-chloranyl-3-methyl-butane	107-84-6	NAV	NAV	98.9	-104.4	16	4.14E+01	0.88	0.53
PARIS III	3-methylbutan-1-amine	107-85-7	NAV	NAV	96	-98.47	18.3	2.97E+01	0.76	0.67
PARIS III	3-methylbut-2-enal	107-86-8	NAV	NAV	134	-8.33	33.9	4.59E+01	0.83	0.54
PARIS III	pentan-2-one	107-87-9	NAV	NAV	102.2	-76.9	7.2	3.54E+01	0.8	0.47
PARIS III	butane-1,3-diol	107-88-0	NAV	NAV	207.5	-20.64	121.1	2.01E-02	1	98.4
PARIS III	3-oxidanylbutanal	107-89-1	NAV	NAV	154.87	15	58.7	6.37E-01	0.98	6.9
PARIS III	butanoic acid	107-92-6	NAV	NAV	163.7	-5.7	69	1.65E+00	0.99	1.43
PARIS III	3-sulfanylpropanoic acid	107-96-0	NAV	NAV	208.39	18	100.74	4.98E-02	1.22	3.24
PARIS III	1-methoxypropan-2-ol	107-98-2	NAV	NAV	119	-95	71.8	1.25E+01	0.91	3.99
PARIS III	2-chloranyl-N,N-dimethyl-ethanamine	107-99-3	NAV	NAV	110	-80.34	9.26	5.64E+01	0.95	0.85
PARIS III	N',N'-dimethylethane-1,2-diamine	108-00-9	NAV	NAV	105	-51.82	23.9	1.72E+01	0.84	0.79
PARIS III	2-(dimethylamino)ethanol	108-01-0	NAV	NAV	134	-59	40.6	3.18E+00	0.9	3.69
PARIS III	1-nitropropane	108-03-2	NAV	NAV	131.1	-108	33	1.01E+01	0.99	0.79
PARIS III	ethenyl ethanoate	108-05-4	NAV	NAV	72.5	-93.2	12.12	9.53E+00	0.93	0.48
PARIS III	2,4-dimethylpentane	108-08-7	NAV	NAV	80.4	-119.9	-12.2	7.95E+00	0.69	0.35
PARIS III	4-methylpentan-2-amine	108-09-8	NAV	NAV	109	-48.86	12	2.27E+01	0.72	0.68
PARIS III	4-methylpentan-2-one	108-10-1	NAV	NAV	116.5	-84	13.3	1.99E+01	0.8	0.54
PARIS III	4-methylpentan-2-ol	108-11-2	NAV	NAV	131.6	-90	41.1	5.30E+00	0.81	4.07
PARIS III	3-methylbutanoyl chloride	108-12-3	NAV	NAV	114	-69.19	25.5	1.54E+01	1	0.92
PARIS III	1-(dimethylamino)propan-2-ol	108-16-7	NAV	NAV	144.95	-28.61	35	2.65E+00	0.84	2.77
PARIS III	N-propan-2-ylpropan-2-amine	108-18-9	NAV	NAV	83.9	-61	-7	7.95E+00	0.74	0.4
PARIS III	2-propan-2-yloxypropane	108-20-3	NAV	NAV	68.5	-86.8	-11.75	1.49E+01	0.76	0.38
PARIS III	propan-2-yl ethanoate	108-21-4	NAV	NAV	88.6	-73.4	16.7	6.04E+01	0.89	0.56
PARIS III	prop-1-en-2-yl ethanoate	108-22-5	NAV	NAV	97	-92.9	12.9	3.48E+01	0.91	0.6
PARIS III	propan-2-yl carbonochloridate	108-23-6	NAV	NAV	105	-70.6	25	3.70E+01	1.12	1.18
PARIS III	5-methyloxolan-2-one	108-29-2	NAV	NAV	207.5	-9.24	74.98	3.90E-01	1.05	1.09
PARIS III	1,3-bis(bromanyl)benzene	108-36-1	NAV	NAV	218	-7	93.9	2.70E-01	1.95	1.81
PARIS III	1-bromanyl-3-chloranyl-benzene	108-37-2	NAV	NAV	196	-21.5	80.6	3.90E-01	1.63	1.46
PARIS III	1,3-dimethylbenzene	108-38-3	NAV	NAV	139.1	-47.8	25	8.33E+00	0.87	0.58
PARIS III	3-methylphenol	108-39-4	NAV	NAV	202.2	11.8	86.11	1.10E-01	1.04	10.81
PARIS III	1-chloranyl-3-methyl-benzene	108-41-8	NAV	NAV	161.8	-47.8	50	3.68E+00	1.07	0.96
PARIS III	3-chloranylaniline	108-42-9	NAV	NAV	230.5	-10.4	123.9	6.61E-02	1.22	3.36
PARIS III	3-methylaniline	108-44-1	NAV	NAV	203.3	-31.2	85.6	3.00E-01	0.99	3.63
PARIS III	2,4-dimethylpyridine	108-47-4	NAV	NAV	158.5	-64	37.2	3.17E+00	0.93	1.34
PARIS III	2,6-dimethylpyridine	108-48-5	NAV	NAV	144.1	-6.1	33.3	5.65E+00	0.93	1.24
PARIS III	1,3-bis(ethenyl)benzene	108-57-6	NAV	NAV	186.75	-52.3	74.6	5.80E-01	0.92	1.29
PARIS III	dimethyl propanedioate	108-59-8	NAV	NAV	181.4	-61.9	90	9.00E-01	1.16	1.41
PARIS III	1-chloranyl-2-(1-chloranylpropan-2-yloxy)propane	108-60-1	NAV	NAV	187	-97	36.4	1.60E-01	1.09	0.86
PARIS III	ethyl 3-methylbutanoate	108-64-5	NAV	NAV	135	-99.3	26	8.33E+00	0.86	0.81
PARIS III	1-methoxypropan-2-yl ethanoate	108-65-6	NAV	NAV	145.5	-22.02	47.9	3.92E+00	0.96	1.01
PARIS III	1,3,5-trimethylbenzene	108-67-8	NAV	NAV	164.7	-44.7	44.4	2.48E+00	0.87	1.04
PARIS III	3,5-dimethylaniline	108-69-0	NAV	NAV	220.5	9.8	93.3	8.25E-02	0.97	3.16
PARIS III	1,3,5-trimethyl-1,3,5-triazinane	108-74-7	NAV	NAV	162.75	-27	49.4	3.20E+00	0.92	2.11
PARIS III	2,4,6-trimethylpyridine	108-75-8	NAV	NAV	170.6	-46	57.2	1.99E+00	0.92	1.81
PARIS III	2,6-dimethylheptan-4-ol	108-82-7	NAV	NAV	174.5	-21.92	66	3.00E-01	0.81	4.44
PARIS III	2,6-dimethylheptan-4-one	108-83-8	NAV	NAV	169.4	-41.5	44.7	1.65E+00	0.81	0.84
PARIS III	4-methylpentan-2-yl ethanoate	108-84-9	NAV	NAV	147.5	-64	45	2.88E+00	0.86	0.98
PARIS III	bromanylcyclohexane	108-85-0	NAV	NAV	166.2	-56.5	62.8	3.79E+00	1.32	2.17
PARIS III	bromanylbenzene	108-86-1	NAV	NAV	156	-30.6	51.11	4.18E+00	1.49	1.07
PARIS III	methylcyclohexane	108-87-2	NAV	NAV	100.9	-126.6	-2.54	4.61E+01	0.78	0.69
PARIS III	methylbenzene	108-88-3	NAV	NAV	110.6	-94.9	10	2.84E+01	0.87	0.55
PARIS III	4-methylpyridine	108-89-4	NAV	NAV	145.3	3.66	40	5.77E+00	0.95	1.05
PARIS III	chloranylbenzene	108-90-7	NAV	NAV	131.7	-45.2	29	1.20E+01	1.11	0.76
PARIS III	cyclohexanamine	108-91-8	NAV	NAV	134	-17.7	32.2	1.01E+01	0.87	1.92
PARIS III	cyclohexanone	108-94-1	NAV	NAV	155.4	-31	44	4.33E+00	0.95	2.02
PARIS III	3-methylpyridine	108-99-6	NAV	NAV	144.1	-18.1	36.11	6.05E+00	0.96	0.88
PARIS III	1-methylpiperazine	109-01-3	NAV	NAV	138	-6	42.2	7.20E+00	0.88	3.2
PARIS III	4-methylmorpholine	109-02-4	NAV	NAV	116	-54.91	23.9	6.31E+00	0.93	1.49
PARIS III	2-bromanylpyridine	109-04-6	NAV	NAV	194.8	19.19	54.4	7.73E-01	1.6	1.73
PARIS III	2-methylpiperidine	109-05-7	NAV	NAV	120	-26.01	16	1.94E+01	0.84	0.49
PARIS III	2-methylpyridine	109-06-8	NAV	NAV	129.3	-66.7	26.11	1.12E+01	0.94	0.78
PARIS III	2-methylpyrazine	109-08-0	NAV	NAV	137	-29	50	8.03E+00	1.02	1.1
PARIS III	2-chloranylpyridine	109-09-1	NAV	NAV	170	-46.5	65	2.18E+00	1.2	1.23
PARIS III	octyl 2-methylpropanoate	109-15-9	NAV	NAV	232.75	-33.6	94	3.10E-02	0.87	2.11
PARIS III	butyl 3-methylbutanoate	109-19-3	NAV	NAV	181.36	-75.41	62.8	1.10E+00	0.86	1.11
PARIS III	butyl butanoate	109-21-7	NAV	NAV	166	-91.5	49.4	1.81E+00	0.87	0.95
PARIS III	1-oxacycloheptadecan-2-one	109-29-5	NAV	NAV	347.33	23.73	149.6	3.56E-05	0.88	7.66
PARIS III	dihexyl nonanedioate	109-31-9	NAV	NAV	347.01	-8	173.4	1.72E-07	0.93	11.54
PARIS III	butyl undec-10-enoate	109-42-2	NAV	NAV	285.53	-22.12	128	5.06E-04	0.88	3.53
PARIS III	dibutyl decanedioate	109-43-3	NAV	NAV	344.5	-10	157.5	4.69E-06	0.94	7.96
PARIS III	hex-5-en-2-one	109-49-9	NAV	NAV	129.5	-55.87	23.9	1.05E+01	0.82	0.59
PARIS III	hex-3-yn-2-ol	109-50-2	NAV	NAV	158.42	-18.68	53.3	5.45E-01	0.91	2.39
PARIS III	pentanoic acid	109-52-4	NAV	NAV	186.1	-34	80.5	2.00E-01	0.97	1.95
PARIS III	1-ethenoxy-2-methyl-propane	109-53-5	NAV	NAV	83	-112	5.35	6.67E+01	0.77	0.44
PARIS III	N',N'-dimethylpropane-1,3-diamine	109-55-7	NAV	NAV	133	-60	9.1	8.55E+00	0.8	0.94
PARIS III	2-propan-2-yloxyethanol	109-59-1	NAV	NAV	145	-28.19	43	2.75E+00	0.9	2.75
PARIS III	propyl ethanoate	109-60-4	NAV	NAV	101.5	-93	12.8	3.59E+01	0.89	0.54
PARIS III	propyl carbonochloridate	109-61-5	NAV	NAV	115.2	-74.54	29.1	2.00E+01	1.12	1.18
PARIS III	1,3-bis(bromanyl)propane	109-64-8	NAV	NAV	167.3	-34.2	54.4	1.36E+00	1.93	1.3
PARIS III	1-bromanylbutane	109-65-9	NAV	NAV	101.3	-112.4	23.9	4.20E+01	1.27	0.61
PARIS III	pentane	109-66-0	NAV	NAV	36	-129.7	-49.4	5.14E+01	0.63	0.22
PARIS III	pent-1-ene	109-67-1	NAV	NAV	29.9	-165.2	-28	6.35E+01	0.64	0.2
PARIS III	2-pentene	109-68-2	NAV	NAV	37	-151.4	-42.71	5.29E+01	0.67	0.2
PARIS III	1-chloranylbutane	109-69-3	NAV	NAV	78.6	-123.1	-11.1	1.01E+01	0.87	0.42
PARIS III	1-bromanyl-3-chloranyl-propane	109-70-6	NAV	NAV	143.3	-58.9	38	6.40E+00	1.53	0.98
PARIS III	butan-1-amine	109-73-9	NAV	NAV	78	-50	10.6	9.30E+00	0.74	0.57
PARIS III	butanenitrile	109-74-0	NAV	NAV	117.6	-111.9	16	1.95E+01	0.78	0.55
PARIS III	but-3-enenitrile	109-75-1	NAV	NAV	119	-87	75	1.85E+01	0.83	0.43
PARIS III	propane-1,3-diamine	109-76-2	NAV	NAV	139.8	19.78	48.9	1.95E+00	0.87	1.29
PARIS III	3-oxidanylpropanenitrile	109-78-4	NAV	NAV	221	-46	92.7	8.03E-02	1.04	6.81
PARIS III	butane-1-thiol	109-79-5	NAV	NAV	98.5	-115.7	12.8	4.55E+01	0.84	0.51
PARIS III	propane-1,3-dithiol	109-80-8	NAV	NAV	172.9	-79	58.9	4.09E+00	1.02	0.79
PARIS III	N'-methylethane-1,2-diamine	109-81-9	NAV	NAV	115	-0.49	41.1	9.23E+00	0.85	1.19
PARIS III	2-(methylamino)ethanol	109-83-1	NAV	NAV	158	-4.5	72.8	1.08E+00	0.89	12.58
PARIS III	2-diazanylethanol	109-84-2	NAV	NAV	219	-70	73.9	2.24E-02	1.06	51.57
PARIS III	2-methoxyethanamine	109-85-3	NAV	NAV	95	-51.49	9.4	1.31E+01	0.85	0.65
PARIS III	2-methoxyethanol	109-86-4	NAV	NAV	124.1	-85.1	46.1	9.53E+00	0.96	1.6
PARIS III	dimethoxymethane	109-87-5	NAV	NAV	42	-104.8	-0.24	3.98E+01	0.86	0.33
PARIS III	N-ethylethanamine	109-89-7	NAV	NAV	55.5	-50	-7	2.37E+01	0.71	0.32
PARIS III	ethenoxyethane	109-92-2	NAV	NAV	35.5	-115.8	-27.16	5.11E+01	0.75	0.34
PARIS III	2,5-dihydro-1H-pyrrole	109-96-6	NAV	NAV	90.5	-10.98	5.8	5.36E+01	0.88	0.87
PARIS III	1H-pyrrole	109-97-7	NAV	NAV	129.7	-23.4	33.33	8.33E+00	0.99	1.28
PARIS III	oxolane	109-99-9	NAV	NAV	65	-108.3	-21	1.62E+01	0.9	0.46
PARIS III	furan	110-00-9	NAV	NAV	31.5	-85.6	-35	6.00E+01	0.94	0.36
PARIS III	thiolane	110-01-0	NAV	NAV	121	-96.1	12.8	1.84E+01	1	0.97
PARIS III	2-(tert-butyldisulfanyl)-2-methyl-propane	110-06-5	NAV	NAV	195.52	-5	62.2	7.30E-02	0.94	0.950526
PARIS III	5-methylhexan-2-one	110-12-3	NAV	NAV	144	-74	41.1	5.77E+00	0.81	0.72
PARIS III	hexane-2,5-dione	110-13-4	NAV	NAV	194	-5.5	78.9	1.90E+00	0.97	1.07
PARIS III	N,N,N',N'-tetramethylethane-1,2-diamine	110-18-9	NAV	NAV	121	-55	9.13	2.15E+01	0.81	0.41
PARIS III	2-methylpropyl ethanoate	110-19-0	NAV	NAV	116.5	-98.8	21.7	1.78E+01	0.88	0.69
PARIS III	propan-2-yl tetradecanoate	110-27-0	NAV	NAV	323.28	3	144.1	9.38E-05	0.86	5.55
PARIS III	O6-decyl O1-octyl hexanedioate	110-29-2	NAV	NAV	336.1	-50	201	5.36E-09	0.92	14.24
PARIS III	bis(2-hexoxyethyl) hexanedioate	110-32-7	NAV	NAV	324.37	-25.01	198.2	1.55E-08	0.98	8.44
PARIS III	dihexyl hexanedioate	110-33-8	NAV	NAV	346.04	-24.29	157.5	2.88E-06	0.94	8.43
PARIS III	butyl tetradecanoate	110-36-1	NAV	NAV	338.68	9.05	158.5	1.93E-05	0.86	5.68
PARIS III	ethyl decanoate	110-38-3	NAV	NAV	241.5	-20	102	2.11E-02	0.86	2.09
PARIS III	octyl butanoate	110-39-4	NAV	NAV	244.1	-55.6	103.3	2.49E-02	0.87	1.98
PARIS III	diethyl decanedioate	110-40-7	NAV	NAV	305	5	125.72	5.08E-04	0.96	5.19
PARIS III	2-methylundecanal	110-41-8	NAV	NAV	171	1.17	93.3	1.89E-02	0.83	2.24
PARIS III	methyl decanoate	110-42-9	NAV	NAV	224	-18	90	3.70E-02	0.87	2.03
PARIS III	heptan-2-one	110-43-0	NAV	NAV	151	-35	47.2	3.86E+00	0.81	0.69
PARIS III	3-propan-2-yloxypropan-1-ol	110-48-5	NAV	NAV	161.43	-37.15	55.2	1.15E+00	0.9	3.09
PARIS III	Ethanol, 2-methoxy-, 1-acetate	110-49-6	NAV	NAV	143	-70	43.9	8.40E+00	1.01	0.85
PARIS III	1,4-bis(bromanyl)butane	110-52-1	NAV	NAV	197	-16.5	65.2	6.20E-01	1.78	1.58
PARIS III	1-bromanylpentane	110-53-2	NAV	NAV	129.8	-95	31.1	1.26E+01	1.22	0.64
PARIS III	hexane	110-54-3	NAV	NAV	68.7	-95.3	-11.82	1.51E+01	0.66	0.3
PARIS III	1,4-bis(chloranyl)butane	110-56-5	NAV	NAV	161	-37.3	40.8	4.13E+00	1.16	1.04
PARIS III	pentan-1-amine	110-58-7	NAV	NAV	104.3	-55	4.4	3.00E+01	0.76	0.7
PARIS III	pentanenitrile	110-59-8	NAV	NAV	141.3	-96.2	40.6	7.29E+00	0.8	0.7
PARIS III	pentanal	110-62-3	NAV	NAV	103	-91.5	12.2	2.33E+01	0.79	0.48
PARIS III	butane-1,4-diol	110-63-4	NAV	NAV	235	20.4	105.91	1.05E-02	1.01	58.57
PARIS III	pentane-1-thiol	110-66-7	NAV	NAV	126.6	-75.7	18	1.38E+01	0.84	0.55
PARIS III	3-methoxypropanenitrile	110-67-8	NAV	NAV	163	-56.12	61.1	2.43E+00	0.9	0.73
PARIS III	N-methylbutan-1-amine	110-68-9	NAV	NAV	91	-75	1.7	4.76E+01	0.74	0.45
PARIS III	N,N'-dimethylethane-1,2-diamine	110-70-3	NAV	NAV	120	16	35.84	9.90E+00	0.8	1.76
PARIS III	1,2-dimethoxyethane	110-71-4	NAV	NAV	85	-58	0	1.58E+01	0.84	0.45
PARIS III	N'-ethylethane-1,2-diamine	110-72-5	NAV	NAV	129	-9.77	10	4.40E+00	0.84	1.64
PARIS III	2-(ethylamino)ethanol	110-73-6	NAV	NAV	169.5	-22.28	78	4.30E-01	0.91	15.88
PARIS III	1-chloranyl-2-ethenoxy-ethane	110-75-8	NAV	NAV	108	-70	16	2.75E+01	1.05	0.56
PARIS III	2-ethoxyethanamine	110-76-9	NAV	NAV	108	-39.73	17.7	2.48E+00	0.85	0.89
PARIS III	2-ethylsulfanylethanol	110-77-0	NAV	NAV	184	-100	16.1	5.70E-01	0.99	5.45
PARIS III	2-ethoxyethanol	110-80-5	NAV	NAV	135	-70	44	5.31E+00	0.92	1.85
PARIS III	(ethyldisulfanyl)ethane	110-81-6	NAV	NAV	154.1	-101.5	40	4.28E+00	0.99	0.67
PARIS III	cyclohexane	110-82-7	NAV	NAV	80.7	6.6	-18.6	9.68E+00	0.79	0.9
PARIS III	cyclohexene	110-83-8	NAV	NAV	82.9	-103.5	-16.91	8.93E+00	0.81	0.63
PARIS III	pyridine	110-86-1	NAV	NAV	115.2	-41.6	17	2.08E+01	0.98	0.89
PARIS III	3,4-dihydro-2H-pyran	110-87-2	NAV	NAV	86	-70	-15.32	4.28E+01	0.92	0.77
PARIS III	piperidine	110-89-4	NAV	NAV	106	-7	4.44	3.22E+01	0.86	1.36
PARIS III	morpholine	110-91-8	NAV	NAV	128	-4.9	35.6	1.01E+01	0.93	2
PARIS III	6-methylhept-5-en-2-one	110-93-0	NAV	NAV	173.5	-67.1	50	1.91E+00	0.86	0.77
PARIS III	N,N,N',N'-tetramethylpropane-1,3-diamine	110-95-2	NAV	NAV	144	-73.46	31.7	7.80E+00	0.82	0.52
PARIS III	2-methyl-N-(2-methylpropyl)propan-1-amine	110-96-3	NAV	NAV	139.6	-73.5	29.4	7.28E+00	0.76	0.73
PARIS III	2,6,10,15,19,23-hexamethyltetracosane	111-01-3	NAV	NAV	350	-38	217.8	1.61E-09	0.8	27.57
PARIS III	butyl hexadecanoate	111-06-8	NAV	NAV	357.96	16.9	146.31	2.05E-06	0.86	6.76
PARIS III	2-methoxyethyl (Z)-octadec-9-enoate	111-10-4	NAV	NAV	350.03	-15.46	152.5	3.53E-06	0.9	4.91
PARIS III	methyl octanoate	111-11-5	NAV	NAV	192.9	-40	73	5.40E-01	0.88	1.24
PARIS III	methyl oct-2-ynoate	111-12-6	NAV	NAV	218.5	-8.23	88.9	1.47E-01	0.92	1.21
PARIS III	octan-2-one	111-13-7	NAV	NAV	172.5	-16	62.8	1.35E+00	0.81	0.94
PARIS III	heptanoic acid	111-14-8	NAV	NAV	222.2	-7.5	99.2	1.07E-02	0.94	3.85
PARIS III	2-ethoxyethyl ethanoate	111-15-9	NAV	NAV	156.4	-61.7	50.6	2.34E+00	0.96	1.03
PARIS III	N,N,N',N'-tetramethylhexane-1,6-diamine	111-18-2	NAV	NAV	209.5	-42	69.03	4.80E-01	0.81	1.03
PARIS III	decanedioyl dichloride	111-19-3	NAV	NAV	277.96	-2.5	151.4	1.37E-03	1.14	3.68
PARIS III	2-[2-(2-acetyloxyethoxy)ethoxy]ethyl ethanoate	111-21-7	NAV	NAV	286	-50	174	6.77E-04	1.12	2.96
PARIS III	1,5-bis(bromanyl)pentane	111-24-0	NAV	NAV	222.3	-39.5	94.7	7.73E-01	1.67	1.06
PARIS III	1-bromanylhexane	111-25-1	NAV	NAV	155.3	-84.7	57.2	3.90E+00	1.18	0.76
PARIS III	hexan-1-amine	111-26-2	NAV	NAV	132.8	-22.9	27	9.00E+00	0.77	0.91
PARIS III	hexan-1-ol	111-27-3	NAV	NAV	157.6	-44.6	60	9.30E-01	0.82	4.59
PARIS III	pentane-1,5-diol	111-29-5	NAV	NAV	239	-18	129.44	3.90E-03	0.98	28.7
PARIS III	hexane-1-thiol	111-31-9	NAV	NAV	151	-81	30	4.20E+00	0.84	0.77
PARIS III	1-ethenoxybutane	111-34-2	NAV	NAV	94	-92	5.4	4.91E+01	0.78	0.51
PARIS III	3-ethoxypropan-1-ol	111-35-3	NAV	NAV	157.67	-71.53	54.4	1.78E+00	0.9	3.03
PARIS III	N'-(2-azanylethyl)ethane-1,2-diamine	111-40-0	NAV	NAV	207	-39	94.44	2.30E-01	0.95	4.69
PARIS III	2-(2-azanylethylamino)ethanol	111-41-1	NAV	NAV	239	-38	90.5	8.18E-03	1.03	13.22
PARIS III	1-propoxypropane	111-43-3	NAV	NAV	90	-122	-20	6.26E+01	0.74	0.4
PARIS III	1-chloranyl-2-(2-chloroethyloxy)ethane	111-44-4	NAV	NAV	178.5	-51.9	52.32	1.55E+00	1.16	2.14
PARIS III	2-prop-2-enoxyethanol	111-45-5	NAV	NAV	158.5	-38.74	55	2.39E+00	0.96	3.43
PARIS III	2-(2-hydroxyethyloxy)ethanol	111-46-6	NAV	NAV	245.8	-10.4	143.33	5.70E-03	1.11	29.99
PARIS III	1-propylsulfanylpropane	111-47-7	NAV	NAV	142.9	-102.5	28.3	6.46E+00	0.84	0.98
PARIS III	2-(2-hydroxyethylsulfanyl)ethanol	111-48-8	NAV	NAV	282	-10.2	90.68	3.23E-03	1.02	50.07
PARIS III	azepane	111-49-9	NAV	NAV	138	-15.82	18	8.10E+00	0.88	2.21
PARIS III	N,N,N',N'-tetramethylbutane-1,4-diamine	111-51-3	NAV	NAV	168	-65.49	38.06	1.71E+00	0.81	0.78
PARIS III	2-acetyloxyethyl ethanoate	111-55-7	NAV	NAV	190	-31	82	7.73E-02	1.13	1.49
PARIS III	propyl (Z)-octadec-9-enoate	111-59-1	NAV	NAV	367.94	-20.92	163.88	6.40E-06	0.87	6.59
PARIS III	octanoyl chloride	111-64-8	NAV	NAV	195.6	-63	79.9	3.08E-01	0.96	1.38
PARIS III	octane	111-65-9	NAV	NAV	125.6	-56.8	13	1.41E+01	0.71	0.5
PARIS III	oct-1-ene	111-66-0	NAV	NAV	121.2	-101.7	21.1	1.74E+01	0.72	0.45
PARIS III	2-octene	111-67-1	NAV	NAV	124	-80	16.6	1.63E+01	0.73	0.48
PARIS III	heptan-1-amine	111-68-2	NAV	NAV	156	-18	44	2.74E+00	0.78	1.32
PARIS III	hexanedinitrile	111-69-3	NAV	NAV	295	1	149	6.79E-04	0.94	0.62
PARIS III	heptan-1-ol	111-70-6	NAV	NAV	176.4	-34	73.9	2.20E-01	0.82	4.46
PARIS III	heptanal	111-71-7	NAV	NAV	152.8	-43.3	48	3.52E+00	0.82	0.87
PARIS III	4-ethoxybutan-1-ol	111-73-9	NAV	NAV	200.46	-54.4	56.9	5.70E-01	0.9	4.39
PARIS III	N,N'-diethylethane-1,2-diamine	111-74-0	NAV	NAV	146	-33.48	50.61	1.92E+00	0.83	2.11
PARIS III	2-(butylamino)ethanol	111-75-1	NAV	NAV	199	-2	79.3	5.87E-02	0.88	4.84
PARIS III	2-butoxyethanol	111-76-2	NAV	NAV	168.4	-74.8	60	8.78E-01	0.9	3.15
PARIS III	2-(2-methoxyethoxy)ethanol	111-77-3	NAV	NAV	193	-58.57	83.9	2.50E-01	0.99	3.48
PARIS III	1,5-Cyclooctadiene	111-78-4	NAV	NAV	150.8	-56.4	38	4.95E+00	0.88	1.11
PARIS III	methyl (E)-non-2-enoate	111-79-5	NAV	NAV	213.68	-31.12	89.36	9.45E-02	0.9	2.435104
PARIS III	methyl non-2-ynoate	111-80-8	NAV	NAV	225.96	-4.39	100.6	5.29E-02	0.93	1.52
PARIS III	methyl undec-10-enoate	111-81-9	NAV	NAV	248	-27.5	99.3	1.19E-02	0.88	2.08
PARIS III	methyl dodecanoate	111-82-0	NAV	NAV	267	5.2	94	4.11E-03	0.87	3
PARIS III	1-bromanyloctane	111-83-1	NAV	NAV	200	-55	78.3	3.80E-01	1.11	1.55
PARIS III	nonane	111-84-2	NAV	NAV	150.8	-53.5	31.1	4.45E+00	0.72	0.67
PARIS III	1-chloranyloctane	111-85-3	NAV	NAV	181.5	-57.8	57.8	9.53E-01	0.86	0.94
PARIS III	octan-1-amine	111-86-4	NAV	NAV	179.6	0	62.8	9.68E-01	0.79	1.49
PARIS III	octan-1-ol	111-87-5	NAV	NAV	195.1	-15.5	81.11	7.95E-02	0.82	7.31
PARIS III	octane-1-thiol	111-88-6	NAV	NAV	199.1	-49.2	68	4.20E-01	0.84	1.26
PARIS III	2-(2-ethoxyethoxy)ethanol	111-90-0	NAV	NAV	196	-76	96.1	1.30E-01	1	3.71
