Input	ID_Name_1	label	ID_CAS_Nr_1	ID_EG_Nr	ID_EG_Annex_Nr	Boiling_Point_Minimum_°C	Melting_Point_Minimum_°C	Vapour_Pressure_25°C_mmHg	Flash_Point_Minimum_°C	Autoignition_Temperature_Minimum_°C	Hansen_Delta_D_MPa1/2	Hansen_Delta_P_MPa1/2	Hansen_Delta_H_MPa1/2	Solubility_Water_g/L	Dielectric_Constant_20°C	Density_25°C_Minimum_kg/L	Viscosity_25°C_Minimum_mPa.s	Evaporation_Speed_Butyl_Acetate=1	Relative_Vapour_Density_Minimum_Air=1	Log_P_Octanol_Water_20°C	Refractive_Index_20°C	Surface_Tension_25°C_mN/m	Specific_Heat_Capacity_20°C_kJ/kg.°C
DataType	string	string	string	string	string	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Randomisation Range	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV
Mixed	1-methoxy-2-propanol	11	107-98-2	216-455-5	603-064-00-3	118	-97	12.5260301061	33	286	15.6	6.3	11.6	-1	12	0.91	3.99	0.70	3.11	-0.437	1.4034	26.5	2.44
Mixed	1-ethoxy-2-propanol	11	1569-02-4	216-374-5	603-177-00-8	132	-100	3.98	42	255	15.7	6.5	10.5	366	10.4	0.896	2.08	0.43	3.59	0.3	1.408	25.6	0.9983675821
Mixed	methoxydipropanol (dpm)	13	34590-94-8	NAV	NAV	189.6	-83	0.4125339257	79	205	15.9	6.3	11.9	-1	10.5	0.951	3.71	0.02	5.11	-0.35	1.4219	28	1.9570175439
Mixed	dimethylethanolamine 	9	108-01-0	NAV	NAV	134	-59	3.18E+00	40.6	295	16.1	9.2	14	-1	17.18	0.9	3.69	0.16	3.1	-0.55	1.429	26.65	2.485
Mixed	dibutylamine	6	111-92-2	203-921-8	NAV	159.6	-62	2.59E+00	41.1	260	15	3	4.3	4.05	5.4	0.76	0.92	0.2	4.5	2.06	1.415	24.12	2.2662
Mixed	monoethanolamine 	9	141-43-5	205-483-3	NAV	171	10.5	4.00E-01	85	410	17	15.5	21	1000	37.72	0.97	19.36	0.02	2.1	-1.91	1.452	48.32	2.0816693944
Mixed	dimethylacetamide	10	127-19-5	204-826-4	NAV	165	-20	2.00E+00	66	490	16.8	11.5	9.4	-1	37.78	0.9372	1.927	0.14	3.02	0.8	1.4379	32.43	2.0314508724
Mixed	triethanolamine 99%	9	102-71-6	203-049-8	NAV	335.4	20.5	3.59E-06	185	325	17.3	7.6	21	-1	29.36	1.17	613.76	0.01	5.1	-2.53	1.4852	47.2	2.0780883437
Mixed	pyridine	6	110-86-1	203-809-9	NAV	115.2	-41.6	20.7767086191	17	482	19	8.8	5.9	-1	12.5	0.98	0.89	1.5	2.73	0.65	1.51	36.56	2.0780883437
Mixed	morpholine	6	110-91-8	203-815-1	NAV	128	-4.9	1.01E+01	35.6	310	18.8	4.9	11	-1	7.176	0.93	2	0.6	3	-2.55	1.4545	32.59	1.9699
Mixed	dimethylformamide	10	68-12-2	200-679-5	616-001-00-x	153	-61	3.87E+00	58	445	17.4	13.7	11.3	1000	36.7	0.9445	0.794	0.17	2.5	-1.028	1.4305	34.935424	2.03
Mixed	N-methyl pyrrolidone	6	872-50-4	212-828-1	606-021-00-7	202	-24	3.50E-01	91	269	18	12.3	7.2	-1	32.2	1.023	1.666	0.06	3.4	-0.46	1.4684	40.7	1.6752395361
